Song,Artist,Release Date,Issue Date,Weeks,Avs.,Genre
Shut Down,Blackpink,16-Sep-22,22-Sep-22,1,39.2,Hip Hop
Unholy,Sam SmithfeaturingKim Petras,22-Sep-22,29-Sep-22,4,51.8,Electropop
Anti-Hero,Taylor Swift,21-Oct-22,27-Oct-22,3,63.9,Pop
Unholy(2),Sam SmithfeaturingKim Petras,22-Sep-22,17-Nov-22,3,41,Electropop
All I Want for Christmas Is You(4),Mariah Carey,01-Nov-94,08-Dec-22,4,46.2,Christmas Pop
Kill Bill,SZA,09-Dec-22,05-Jan-23,2,44.4,R&B
Flowers ‡,Miley Cyrus,13-Jan-23,19-Jan-23,7,83.5,Disco Pop
TQG,Karol GfeaturingShakira,24-Feb-23,09-Mar-23,1,57.1,Latin Pop
Flowers ‡(2),Miley Cyrus,13-Jan-23,16-Mar-23,5,47.3,Disco Pop
Ella Baila Sola,Eslabon ArmadofeaturingPeso Pluma,17-Mar-23,20-Apr-23,2,50.2,Latin Pop
Un x100to,Grupo FronterafeaturingBad Bunny,17-Apr-23,04-May-23,2,53.2,Latin Pop
Ella Baila Sola(2),Eslabon ArmadofeaturingPeso Pluma,17-Mar-23,18-May-23,7,43,Latin Pop
Vampire,Olivia Rodrigo,30-Jun-23,06-Jul-23,1,52,Pop
Lala,Myke Towers,23-Mar-23,13-Jul-23,1,39.4,Hip Hop
Seven,JungkookfeaturingLatto,14-Jul-23,20-Jul-23,8,63.9,Garage
Paint the Town Red,Doja Cat,04-Aug-23,14-Sep-23,4,52.1,Hip Hop
Seven(2),JungkookfeaturingLatto,14-Jul-23,12-Oct-23,1,43.2,Garage
Monaco,Bad Bunny,13-Oct-23,19-Oct-23,1,50,Latin Pop
Si No Estás,Iñigo Quintero,23-Sep-22,26-Oct-23,1,40,Ballad
Is It Over Now?,Taylor Swift,27-Oct-23,02-Nov-23,1,44.8,Ballad
Standing Next to You,Jungkook,03-Nov-23,09-Nov-23,1,39.2,Funk
Greedy,Tate McRae,15-Sep-23,16-Nov-23,3,38.4,Dance Pop
All I Want for Christmas Is You(5),Mariah Carey,01-Nov-94,07-Dec-23,4,56.1,Christmas Pop
Greedy(2),Tate McRae,15-Sep-23,04-Jan-24,1,33.9,Dance Pop
La Diabla,Xavi,30-Nov-23,11-Jan-24,1,34.2,Bachata
"Yes, And?",Ariana Grande,12-Jan-24,18-Jan-24,1,53.9,Dance Pop
La Diabla(2),Xavi,30-Nov-23,25-Jan-24,3,37.9,Bachata
Beautiful Things,Benson Boone,18-Jan-24,15-Feb-24,4,43.4,Pop
We Can't Be Friends (Wait for Your Love),Ariana Grande,08-Mar-24,14-Mar-24,2,58,Synth Pop
Beautiful Things(2)#,Benson Boone,18-Jan-24,28-Mar-24,2,54.7,Pop
